equipmentId,itemId,itemName,type,unit,required,minValue,maxValue,freqHours,requiredInStandby
JH-O-P01E01,JH-O-P01E01I01,有无泄漏及有毒气体报警,BOOLEAN,,1,,,4,no
JH-O-P02E01,JH-O-P02E01I01,有无泄漏及有毒气体报警,BOOLEAN,,1,,,2,no
JH-O-P02E02,JH-O-P02E02I01,出口压力是否正常,NUMBER,MPa,1,0,0.5,2,no
JH-O-P02E02,JH-O-P02E02I02,泵/电机运行情况是否正常，有无异音，有无泄漏,BOOLEAN,,1,,,2,no
JH-O-P02E03,JH-O-P02E03I01,氮封投用情况：是否正常,BOOLEAN,,1,,,2,no
JH-O-P02E03,JH-O-P02E03I02,地坑有无积水，有无泄漏，有积水及时联系主控,BOOLEAN,,1,,,2,no
JH-O-P03E01,JH-O-P03E01I01,有无泄漏及有毒气体报警,BOOLEAN,,1,,,2,no
JH-O-P03E02,JH-O-P03E02I01,出口压力是否正常,NUMBER,MPa,1,2.8,3.4,2,no
JH-O-P03E02,JH-O-P03E02I02,出口流量是否正常,NUMBER,m³/h,1,13,18,2,no
JH-O-P03E02,JH-O-P03E02I03,泵及电机运行情况及润滑油是否正常,BOOLEAN,,1,,,2,no
JH-O-P03E03,JH-O-P03E03I01,出口压力是否正常,NUMBER,MPa,1,3.8,4.6,2,no
JH-O-P03E03,JH-O-P03E03I02,泵及电机运行情况及润滑油是否正常,BOOLEAN,,1,,,2,no
JH-O-P03E04,JH-O-P03E04I01,出口压力是否正常,NUMBER,MPa,1,3.8,4.6,2,no
JH-O-P03E04,JH-O-P03E04I02,泵及电机运行情况及润滑油是否正常,BOOLEAN,,1,,,2,no
JH-O-P03E05,JH-O-P03E05I01,泵入口压力是否正常,NUMBER,MPa,1,0.2,0.4,4,no
JH-O-P03E05,JH-O-P03E05I02,泵出口压力是否正常,NUMBER,MPa,1,3.8,4.8,4,no
JH-O-P03E05,JH-O-P03E05I03,电机驱动端轴承温度：是否正常，超过60°C汇报,NUMBER,°C,1,10,60,4,no
JH-O-P03E05,JH-O-P03E05I04,电机非驱动端轴承温度：是否正常，超过60°C汇报,NUMBER,°C,1,10,60,4,no
JH-O-P03E05,JH-O-P03E05I05,泵驱动端轴承温度：是否正常，超过60°C汇报,NUMBER,°C,1,10,60,4,no
JH-O-P03E05,JH-O-P03E05I06,泵非驱动端轴承温度：是否正常，超过60°C汇报,NUMBER,°C,1,10,60,4,no
JH-O-P03E05,JH-O-P03E05I07,泵及电机运行情况及润滑油是否正常,BOOLEAN,,1,,,2,no
JH-O-P03E05,JH-O-P03E05I08,冷却水运行回水视镜是否正常,BOOLEAN,,1,,,2,no
JH-O-P03E05,JH-O-P03E05I09,密封水温度是否小于80℃,BOOLEAN,,1,,,2,no
JH-O-P03E06,JH-O-P03E06I01,泵入口压力是否正常,NUMBER,MPa,1,0.2,0.4,4,no
JH-O-P03E06,JH-O-P03E06I02,泵出口压力是否正常,NUMBER,MPa,1,3.8,4.8,4,no
JH-O-P03E06,JH-O-P03E06I03,电机驱动端轴承温度：是否正常，超过60°C汇报,NUMBER,°C,1,10,60,4,no
JH-O-P03E06,JH-O-P03E06I04,电机非驱动端轴承温度：是否正常，超过60°C汇报,NUMBER,°C,1,10,60,4,no
JH-O-P03E06,JH-O-P03E06I05,泵驱动端轴承温度：是否正常，超过60°C汇报,NUMBER,°C,1,10,60,4,no
JH-O-P03E06,JH-O-P03E06I06,泵非驱动端轴承温度：是否正常，超过60°C汇报,NUMBER,°C,1,10,60,4,no
JH-O-P03E06,JH-O-P03E06I07,泵及电机运行情况及润滑油是否正常,BOOLEAN,,1,,,2,no
JH-O-P03E06,JH-O-P03E06I08,冷却水运行回水视镜是否正常,BOOLEAN,,1,,,2,no
JH-O-P03E06,JH-O-P03E06I09,密封水温度是否小于80℃,BOOLEAN,,1,,,2,no
