equipmentId,itemId,itemName,type,unit,required,minValue,maxValue,freqHours,requiredInStandby
RJ-W-P01E01,RJ-W-P01E01I01,电机驱动端轴承温度,NUMBER,°C,1,20,65,4,no
RJ-W-P01E01,RJ-W-P01E01I02,电机驱动端轴承振动正常,BOOLEAN,,1,,,2,no
RJ-W-P01E01,RJ-W-P01E01I03,电机非驱动端振动正常,BOOLEAN,,1,,,2,no
RJ-W-P01E01,RJ-W-P01E01I04,电机/泵无异音,BOOLEAN,,1,,,2,no
RJ-W-P01E01,RJ-W-P01E01I05,泵不倒转,BOOLEAN,,1,,,8,yes
RJ-W-P01E02,RJ-W-P01E02I01,电机驱动端轴承温度,NUMBER,°C,1,20,65,4,no
RJ-W-P01E02,RJ-W-P01E02I02,电机驱动端轴承振动正常,BOOLEAN,,1,,,2,no
RJ-W-P01E02,RJ-W-P01E02I03,电机非驱动端振动正常,BOOLEAN,,1,,,2,no
RJ-W-P01E02,RJ-W-P01E02I04,电机/泵无异音,BOOLEAN,,1,,,2,no
RJ-W-P01E02,RJ-W-P01E02I05,泵不倒转,BOOLEAN,,1,,,8,yes
RJ-W-P01E03,RJ-W-P01E03I01,电机驱动端轴承温度,NUMBER,°C,1,20,65,4,no
RJ-W-P01E03,RJ-W-P01E03I02,电机驱动端轴承振动正常,BOOLEAN,,1,,,2,no
RJ-W-P01E03,RJ-W-P01E03I03,电机非驱动端振动正常,BOOLEAN,,1,,,2,no
RJ-W-P01E03,RJ-W-P01E03I04,电机/泵无异音,BOOLEAN,,1,,,2,no
RJ-W-P01E03,RJ-W-P01E03I05,泵不倒转,BOOLEAN,,1,,,8,yes
RJ-W-P01E04,RJ-W-P01E04I01,电机驱动端轴承温度,NUMBER,°C,1,20,65,4,no
RJ-W-P01E04,RJ-W-P01E04I02,电机驱动端轴承振动正常,BOOLEAN,,1,,,2,no
RJ-W-P01E04,RJ-W-P01E04I03,电机非驱动端振动正常,BOOLEAN,,1,,,2,no
RJ-W-P01E04,RJ-W-P01E04I04,电机/泵无异音,BOOLEAN,,1,,,2,no
RJ-W-P01E04,RJ-W-P01E04I05,泵不倒转,BOOLEAN,,1,,,8,yes
RJ-W-P01E05,RJ-W-P01E05I01,电机驱动端轴承温度正常,BOOLEAN,,1,,,4,no
RJ-W-P01E05,RJ-W-P01E05I02,电机驱动端轴承振动正常,BOOLEAN,,1,,,4,no
RJ-W-P01E05,RJ-W-P01E05I03,电机非驱动端振动正常,BOOLEAN,,1,,,4,no
RJ-W-P01E05,RJ-W-P01E05I04,电机/泵无异音,BOOLEAN,,1,,,4,no
RJ-W-P01E05,RJ-W-P01E05I05,泵不倒转,BOOLEAN,,1,,,8,yes
RJ-W-P01E06,RJ-W-P01E06I01,电机驱动端轴承温度正常,BOOLEAN,,1,,,4,no
RJ-W-P01E06,RJ-W-P01E06I02,电机驱动端轴承振动正常,BOOLEAN,,1,,,4,no
RJ-W-P01E06,RJ-W-P01E06I03,电机非驱动端振动正常,BOOLEAN,,1,,,4,no
RJ-W-P01E06,RJ-W-P01E06I04,电机/泵无异音,BOOLEAN,,1,,,4,no
RJ-W-P01E06,RJ-W-P01E06I05,泵不倒转,BOOLEAN,,1,,,8,yes
RJ-W-P01E07,RJ-W-P01E07I01,控制面板无报警,BOOLEAN,,1,,,2,yes
RJ-W-P01E07,RJ-W-P01E07I02,供水压力正常,BOOLEAN,,1,,,2,yes
RJ-W-P01E07,RJ-W-P01E07I03,供水温度,NUMBER,°C,1,20,60,4,no
RJ-W-P01E07,RJ-W-P01E07I04,回水压力正常,BOOLEAN,,1,,,2,yes
RJ-W-P01E07,RJ-W-P01E07I05,回水温度正常,BOOLEAN,,1,,,2,yes
RJ-W-P01E07,RJ-W-P01E07I06,补水箱液位正常/无溢流,BOOLEAN,,1,,,2,yes
RJ-W-P01E07,RJ-W-P01E07I07,无渗漏/换热器无撞击声,BOOLEAN,,1,,,2,yes
RJ-W-P01E07,RJ-W-P01E07I08,就地表计无摆动与远传显示基本一致,BOOLEAN,,1,,,24,no
RJ-W-P02E01,RJ-W-P02E01I01,电机驱动端轴承温度,NUMBER,°C,1,20,65,4,no
RJ-W-P02E01,RJ-W-P02E01I02,电机驱动端轴承振动正常,BOOLEAN,,1,,,2,no
