equipmentId,itemId,itemName,type,unit,required,minValue,maxValue,freqHours,requiredInStandby
LGO-RJ-W-P01E01,LGO-RJ-W-P01E01I01,无跑冒、无泄漏、无冻结、标识清晰齐全、有无冻结,BOOLEAN,,1,,,4,no
LGO-RJ-W-P02E01,LGO-RJ-W-P02E01I01,无跑冒、无泄漏、无冻结、标识清晰齐全、门锁正常、无危险气体报警、无漏雨、无高杂草,BOOLEAN,,1,,,4,no
LGO-RJ-W-P02E01,LGO-RJ-W-P02E01I02,表计：无跑冒、无泄漏、标识清晰齐全、示数在合格范围内,BOOLEAN,,1,,,4,no
LGO-RJ-W-P02E01,LGO-RJ-W-P02E01I03,阀门：无跑冒、无泄漏、标识清晰齐全、阀门位置正常,BOOLEAN,,1,,,4,no
LGO-RJ-W-P02E02,LGO-RJ-W-P02E02I01,无跑冒、无泄漏、标识清晰齐全、液位＜100mm、压差＜30kpa,BOOLEAN,,1,,,4,no
LGO-RJ-W-P03E01,LGO-RJ-W-P03E01I01,无跑冒、无泄漏、无冻结、标识清晰齐全、门窗正常、无漏雨、通风正常、采暖正常,BOOLEAN,,1,,,4,no
LGO-RJ-W-P03E02,LGO-RJ-W-P03E02I01,标识清晰齐全、阀门位置正常,BOOLEAN,,1,,,4,no
LGO-RJ-W-P03E02,LGO-RJ-W-P03E02I02,运行无异音，出口压力正常,BOOLEAN,,1,,,4,no
LGO-RJ-W-P03E03,LGO-RJ-W-P03E03I01,油泵无异音、冷却水压力0.3-0.5Mpa，回水温度＜60℃,BOOLEAN,,1,,,4,no
LGO-RJ-W-P03E04,LGO-RJ-W-P03E04I01,无异常报警，氮气储罐压力0.6-0.8Mpa，纯度＞99%,BOOLEAN,,1,,,4,no
LGO-RJ-W-P04E01,LGO-RJ-W-P04E01I01,无跑冒、无泄漏、无冻结、标识清晰齐全、门窗正常、无漏雨、无危险气体报警、采暖正常,BOOLEAN,,1,,,4,no
LGO-RJ-W-P04E02,LGO-RJ-W-P04E02I01,运行期间汽包压力≤2.0Mpa，停备期间充氮压力≥0Mpa,NUMBER,Mpa,1,0.0,2.15,4,yes
LGO-RJ-W-P04E02,LGO-RJ-W-P04E02I02,运行期间大于＞-100mm，＜200mm，超限时汇报,NUMBER,mm,1,-100.0,200.0,4,no
LGO-RJ-W-P04E03,LGO-RJ-W-P04E03I01,无跑冒、无泄漏、标识清晰齐全,BOOLEAN,,1,,,4,yes
LGO-RJ-W-P04E03,LGO-RJ-W-P04E03I02,运行无异音，轴承最高温度＜60℃,NUMBER,℃,1,0.0,60.0,4,no
LGO-RJ-W-P04E04,LGO-RJ-W-P04E04I01,运行期间汽包压力≤2.0Mpa，停备期间充氮压力≥0Mpa,NUMBER,Mpa,1,0.0,0.5,4,yes
LGO-RJ-W-P04E04,LGO-RJ-W-P04E04I02,运行期间大于＞-100mm，＜200mm，超限时汇报,NUMBER,mm,1,-100.0,200.0,4,no
LGO-RJ-W-P04E05,LGO-RJ-W-P04E05I01,无跑冒、无泄漏、标识清晰齐全,BOOLEAN,,1,,,4,yes
LGO-RJ-W-P04E05,LGO-RJ-W-P04E05I02,运行无异音，轴承最高温度＜60℃,NUMBER,℃,1,0.0,60.0,4,no
LGO-RJ-W-P04E06,LGO-RJ-W-P04E06I01,无跑冒、无泄漏、标识清晰齐全,BOOLEAN,,1,,,4,yes
LGO-RJ-W-P04E06,LGO-RJ-W-P04E06I02,运行无异音，轴承最高温度＜60℃,NUMBER,℃,1,0.0,60.0,4,no
LGO-RJ-W-P04E07,LGO-RJ-W-P04E07I01,无跑冒、无泄漏、标识清晰齐全,BOOLEAN,,1,,,4,yes
LGO-RJ-W-P04E07,LGO-RJ-W-P04E07I02,运行无异音，轴振正常，轴承最高温度＜60℃,NUMBER,℃,1,0.0,60.0,4,no
LGO-RJ-W-P04E08,LGO-RJ-W-P04E08I01,无跑冒、无泄漏、标识清晰齐全,BOOLEAN,,1,,,4,yes
LGO-RJ-W-P04E08,LGO-RJ-W-P04E08I02,运行无异音，轴振正常，轴承最高温度＜60℃,NUMBER,℃,1,0.0,60.0,4,no
LGO-RJ-W-P04E09,LGO-RJ-W-P04E09I01,无跑冒、无泄漏、标识清晰齐全,BOOLEAN,,1,,,4,yes
LGO-RJ-W-P04E09,LGO-RJ-W-P04E09I02,运行无异音，轴振正常，轴承最高温度＜60℃,NUMBER,℃,1,0.0,60.0,4,no
LGO-RJ-W-P04E10,LGO-RJ-W-P04E10I01,无跑冒、无泄漏、标识清晰齐全,BOOLEAN,,1,,,4,yes
LGO-RJ-W-P04E10,LGO-RJ-W-P04E10I02,运行无异音，轴振正常，轴承最高温度＜60℃,NUMBER,℃,1,0.0,60.0,4,no
LGO-RJ-W-P04E11,LGO-RJ-W-P04E11I01,无跑冒、无泄漏、标识清晰齐全,BOOLEAN,,1,,,4,yes
LGO-RJ-W-P04E11,LGO-RJ-W-P04E11I02,运行无异音，轴振正常，轴承最高温度＜60℃,NUMBER,℃,1,0.0,60.0,4,no
LGO-RJ-W-P04E12,LGO-RJ-W-P04E12I01,无跑冒、无泄漏、标识清晰齐全、运行无异音,BOOLEAN,,1,,,4,no
LGO-RJ-W-P04E13,LGO-RJ-W-P04E13I01,无跑冒、无泄漏、标识清晰齐全、运行无异音,BOOLEAN,,1,,,4,no
LGO-RJ-W-P04E14,LGO-RJ-W-P04E14I01,运行无异音，出口压力正常,BOOLEAN,,1,0.0,60.0,4,no
