equipmentId,itemId,itemName,type,unit,required,minValue,maxValue,freqHours,requiredInStandby
LGI-RJ-W-P01E01,LGI-RJ-W-P01E01I01,无跑冒、无泄漏、无撞管，液位1600-1800mm,NUMBER,mm,1,1600.0,1800.0,2.0,no
LGI-RJ-W-P01E02,LGI-RJ-W-P01E02I01,无跑冒、无泄漏、无撞管，液位1400±50mm,NUMBER,mm,1,1350.0,1450.0,2.0,no
LGI-RJ-W-P01E03,LGI-RJ-W-P01E03I01,无跑冒、无泄漏、无撞管，液位1400±50mm,NUMBER,mm,1,1350.0,1450.0,2.0,no
LGI-RJ-W-P02E01,LGI-RJ-W-P02E01I01,无跑冒、无泄漏、补水阀无抖动，放水阀关闭,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P02E01,LGI-RJ-W-P02E01I02,液位1600±50mm,NUMBER,mm,1,1550.0,1650.0,2.0,no
LGI-RJ-W-P02E02,LGI-RJ-W-P02E02I01,无抖动、无泄漏、储罐压力0.6-0.7Mpa,NUMBER,Mpa,1,0.6,0.7,2.0,no
LGI-RJ-W-P03E01,LGI-RJ-W-P03E01I01,电流、电压指示正常，无异音，无异常报警,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P03E02,LGI-RJ-W-P03E02I01,无跑冒、无泄漏、无异音,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P03E03,LGI-RJ-W-P03E03I01,无跑冒、无泄漏、无异音、保温温度＜100℃，机封无漏汽,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P03E04,LGI-RJ-W-P03E04I01,最低压力0.1-0.16Mpa,NUMBER,Mpa,1,0.1,0.16,2.0,no
LGI-RJ-W-P03E05,LGI-RJ-W-P03E05I01,最低压力0.1-0.16Mpa,NUMBER,Mpa,1,0.1,0.16,2.0,no
LGI-RJ-W-P03E06,LGI-RJ-W-P03E06I01,压力13-15Mpa，超限汇报,NUMBER,Mpa,1,13.0,15.0,2.0,no
LGI-RJ-W-P03E07,LGI-RJ-W-P03E07I01,压力13-15Mpa，超限汇报,NUMBER,Mpa,1,13.0,15.0,2.0,no
LGI-RJ-W-P03E08,LGI-RJ-W-P03E08I01,压力6-8Mpa，超限汇报,NUMBER,Mpa,1,6.0,8.0,2.0,no
LGI-RJ-W-P03E09,LGI-RJ-W-P03E09I01,14±0.5Mpa,NUMBER,Mpa,1,13.5,14.5,2.0,no
LGI-RJ-W-P03E10,LGI-RJ-W-P03E10I01,5-6.6（盘车运行时压力）,NUMBER,Mpa,1,5.0,6.6,2.0,no
LGI-RJ-W-P03E11,LGI-RJ-W-P03E11I01,5.8-6.6（盘车运行时压力）,NUMBER,Mpa,1,5.8,6.6,2.0,no
LGI-RJ-W-P03E12,LGI-RJ-W-P03E12I01,无泄漏、阀门无抖动、压力0.12±0.01Mpa,NUMBER,Mpa,1,0.11,0.13,2.0,no
LGI-RJ-W-P04E01,LGI-RJ-W-P04E01I01,无异物，差压＜5.5mbar，风机运行正常，反吹正常,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P05E01,LGI-RJ-W-P05E01I01,无跑冒、无泄漏、标识清晰齐全、表计、阀门、照明及采暖正常,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P05E01,LGI-RJ-W-P05E01I02,液位：600～750mm,NUMBER,mm,1,600.0,750.0,2.0,no
LGI-RJ-W-P05E01,LGI-RJ-W-P05E01I03,负压：＞-3kpa，＜-1kpa,NUMBER,kpa,1,-3.0,-1.0,2.0,no
LGI-RJ-W-P05E02,LGI-RJ-W-P05E02I01,电源正常，远方、自动控制,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P05E03,LGI-RJ-W-P05E03I01,无泄漏、无异音、阀位正常,BOOLEAN,,1,,,2.0,yes
LGI-RJ-W-P05E04,LGI-RJ-W-P05E04I01,无泄漏、无异音、阀位正常,BOOLEAN,,1,,,2.0,yes
LGI-RJ-W-P05E05,LGI-RJ-W-P05E05I01,无泄漏、无异音、阀位正常,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P05E06,LGI-RJ-W-P05E06I01,无泄漏、无异音、阀位正常,BOOLEAN,,1,,,2.0,yes
LGI-RJ-W-P05E07,LGI-RJ-W-P05E07I01,无泄漏、无异音、阀位正常,BOOLEAN,,1,,,2.0,yes
LGI-RJ-W-P05E08,LGI-RJ-W-P05E08I01,无泄漏、无异音、阀位正常,BOOLEAN,,1,,,2.0,yes
LGI-RJ-W-P05E09,LGI-RJ-W-P05E09I01,无泄漏、无异音、阀位正常,BOOLEAN,,1,,,2.0,yes
LGI-RJ-W-P05E10,LGI-RJ-W-P05E10I01,无泄漏、无异音,BOOLEAN,,1,,,2.0,yes
LGI-RJ-W-P05E11,LGI-RJ-W-P05E11I01,无泄漏、无异音,BOOLEAN,,1,,,2.0,yes
LGI-RJ-W-P05E12,LGI-RJ-W-P05E12I01,无跑冒、无泄漏、标识清晰齐全、阀位正常,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P05E13,LGI-RJ-W-P05E13I01,无跑冒、无泄漏、标识清晰齐全、阀位正常,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P05E14,LGI-RJ-W-P05E14I01,顶轴油压力：15-16Mpa,NUMBER,Mpa,1,15.0,16.0,2.0,no
LGI-RJ-W-P05E15,LGI-RJ-W-P05E15I01,顶轴油压力：5.9-11.2Mpa,NUMBER,Mpa,1,5.9,11.2,2.0,no
LGI-RJ-W-P05E16,LGI-RJ-W-P05E16I01,顶轴油压力：5.9-11.2Mpa,NUMBER,Mpa,1,5.9,11.2,2.0,no
LGI-RJ-W-P05E17,LGI-RJ-W-P05E17I01,顶轴油压力：15-16Mpa,NUMBER,Mpa,1,15.0,16.0,2.0,no
LGI-RJ-W-P05E18,LGI-RJ-W-P05E18I01,顶轴油压力：6.2-6.6Mpa,NUMBER,Mpa,1,6.2,6.6,2.0,no
LGI-RJ-W-P05E19,LGI-RJ-W-P05E19I01,顶轴油压力：6.2-6.6Mpa,NUMBER,Mpa,1,6.2,6.6,2.0,no
LGI-RJ-W-P05E20,LGI-RJ-W-P05E20I01,运行无异音、无异常报警、接油桶液位正常,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P05E21,LGI-RJ-W-P05E21I01,无跑冒、无泄漏、标识清晰齐全、无上冻、阀位正常,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P06E01,LGI-RJ-W-P06E01I01,无跑冒、无泄漏、无撞管、疏水阀和减温水阀位正常,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P06E01,LGI-RJ-W-P06E01I02,轴封温度最低值110-170℃,NUMBER,℃,1,110.0,170.0,2.0,no
LGI-RJ-W-P07E01,LGI-RJ-W-P07E01I01,无跑冒、无泄漏、无撞管、疏水阀位正常、采暖正常,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P07E01,LGI-RJ-W-P07E01I02,压力0.6-1.1Mpa,NUMBER,Mpa,1,0.6,1.1,2.0,no
LGI-RJ-W-P07E02,LGI-RJ-W-P07E02I01,无跑冒、无泄漏、无撞管、阀位正常,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P07E03,LGI-RJ-W-P07E03I01,无抖动、无泄漏、储罐压力0.55-0.65Mpa,NUMBER,Mpa,1,0.55,0.65,2.0,no
LGI-RJ-W-P07E04,LGI-RJ-W-P07E04I01,无跑冒、无泄漏、阀门无抖动,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P07E05,LGI-RJ-W-P07E05I01,无跑冒、无泄漏、无异音、油压正常,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P08E01,LGI-RJ-W-P08E01I01,无跑冒、无泄漏、无撞管、标识清晰齐全、表计、阀门正常,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P08E01,LGI-RJ-W-P08E01I02,加热器液位正常、疏水正常,BOOLEAN,,1,,,2.0,no
LGI-RJ-W-P08E01,LGI-RJ-W-P08E01I03,泵运行无异音，轴承最大温度＜80℃,NUMBER,℃,1,0.0,80.0,2.0,no
LGI-RJ-W-P08E01,LGI-RJ-W-P08E01I04,采暖供水压力0.6-0.65Mpa,NUMBER,Mpa,1,0.6,0.65,2.0,no
LGI-RJ-W-P08E01,LGI-RJ-W-P08E01I05,采暖回水压力0.2-0.25Mpa,NUMBER,Mpa,1,0.2,0.25,2.0,no
LGI-RJ-W-P08E01,LGI-RJ-W-P08E01I06,采暖供水温度60-70℃,NUMBER,℃,1,60.0,70.0,2.0,no
LGI-RJ-W-P08E01,LGI-RJ-W-P08E01I07,采暖回水温度50-60℃,NUMBER,℃,1,50.0,60.0,2.0,no
LGI-RJ-W-P09E01,LGI-RJ-W-P09E01I01,无跑冒、无泄漏、无异音、标识清晰齐全、油杯油位正常,BOOLEAN,,1,,,,no
LGI-RJ-W-P09E01,LGI-RJ-W-P09E01I02,轴承最高温度＜70℃,NUMBER,℃,1,0.0,70.0,2.0,no
